Etunimi,Sukunimi,Sähköposti,Työpuhelin,Osasto
Iso,Pomo,iso.pomo@firma.fi,12545054,Johtoporras
Make,Myyjä,make.myyja@gmail.com,34534524,Myynti
Maiju,Myyjä,maiju.myyja@hotmail.com,32232353,Myynti
Mike,Markkinoija,mike.markkinoija@firma.fi,76565574,Markkinointi
Masa,Markkina,masa.markkina@gmail.com,52545054,Markkinointi
Tiina,Tuote,tiina.tuote@hotmail.com,46545054,Tuotekehitys
Taisto,Tähdellinen,taisto.tahdellinen@firma.fi,57545054,Tuotekehitys
Jaana,Jämäkkä,jaana.jamakka@gmail.com,43545054,Tuotekehitys
Ismo,Insinööri,ismo.insinoori@firma.fi,34534054,Tuotekehitys
Peke,Pomo,peke.pomo@hotmail.com,65545054,Tuotanto
Taavi,Tanakka,taavi.tanakka@firma.fi,35345054,Tuotanto
Maija,Mainio,maija.mainio@hotmail.com,12564654,Tuotanto
Mikko,Meikäläinen,mikko.meikalainen@firma.fi,12523654,Tuotanto
Satu,Särmä,satu.sarma@gmail.com,12235054,Tuotanto
Heikki,Häijy,heikki.haijy@firma.fi,12465054,Tuotanto
